crn,password,sbi,land_parcel,action1,action2,action3,available_area
1300000001,perftesting,300000001,SD6246-1022,CMOR1,UPL1,UPL8,1.6623
1300000002,perftesting,300000002,SD6352-1073,CMOR1,UPL2,UPL10,13.7223
1300000003,perftesting,300000003,SD5551-1107,CMOR1,UPL3,UPL8,21.5106
1300000004,perftesting,300000004,SD8566-1235,CMOR1,UPL1,UPL10,67.6582
1300000005,perftesting,300000005,SD5852-1436,CMOR1,UPL1,UPL8,177.2191
1300000006,perftesting,300000006,SD6856-1598,CMOR1,UPL2,UPL10,795.3376
1300000007,perftesting,300000007,SD6765-1649,CMOR1,UPL3,UPL8,11.1877
1300000008,perftesting,300000008,SD6151-1717,CMOR1,UPL1,UPL10,233.4924
1300000009,perftesting,300000009,SD7159-1853,CMOR1,UPL1,UPL8,4.9564
1300000010,perftesting,300000010,SD5961-1926,CMOR1,UPL2,UPL10,53.0955
1300000011,perftesting,300000011,SD8365-2069,CMOR1,UPL3,UPL8,5.1313
1300000012,perftesting,300000012,SD5946-2122,CMOR1,UPL1,UPL8,2.1405
1300000013,perftesting,300000013,SD8465-2158,CMOR1,UPL2,UPL10,44.3828
1300000014,perftesting,300000014,SD8765-2268,CMOR1,UPL3,UPL8,41.783
1300000015,perftesting,300000015,SD7367-2353,CMOR1,UPL1,UPL10,13.5028
1300000016,perftesting,300000016,SD5148-2484,CMOR1,UPL1,UPL8,13.6145
1300000017,perftesting,300000017,SD8563-2535,CMOR1,UPL2,UPL10,22.6584
1300000018,perftesting,300000018,SD8764-2653,CMOR1,UPL3,UPL8,57.9543
1300000019,perftesting,300000019,SD7047-2682,CMOR1,UPL1,UPL10,2.6337
1300000020,perftesting,300000020,SD7347-2774,CMOR1,UPL1,UPL8,1.1121
1300000021,perftesting,300000021,SD6955-2837,CMOR1,UPL2,UPL10,6.1639
1300000022,perftesting,300000022,SD7662-2903,CMOR1,UPL3,UPL8,85.5645
1300000023,perftesting,300000023,SD5549-2976,CMOR1,UPL1,UPL8,836.9095
1300000024,perftesting,300000024,SD6747-3065,CMOR1,UPL2,UPL10,47.249
1300000025,perftesting,300000025,SD7448-3150,CMOR1,UPL3,UPL8,14.883
1300000026,perftesting,300000026,SD8364-3270,CMOR1,UPL1,UPL10,11.7183
1300000027,perftesting,300000027,SD8761-3294,CMOR1,UPL1,UPL8,19.9885
1300000028,perftesting,300000028,SD7653-3351,CMOR1,UPL2,UPL10,16.7509
1300000029,perftesting,300000029,SD6955-3445,CMOR1,UPL3,UPL8,5.1376
1300000030,perftesting,300000030,SD8459-3498,CMOR1,UPL1,UPL10,10.9341
1300000031,perftesting,300000031,SD7658-3586,CMOR1,UPL1,UPL8,46.352
1300000032,perftesting,300000032,SD8562-3593,CMOR1,UPL2,UPL10,22.7608
1300000033,perftesting,300000033,SD8243-3633,CMOR1,UPL3,UPL8,10.8987
1300000034,perftesting,300000034,SD5349-3815,CMOR1,UPL1,UPL8,6.3614
1300000035,perftesting,300000035,SD5458-3919,CMOR1,UPL2,UPL10,149.1983
1300000036,perftesting,300000036,SD7659-3975,CMOR1,UPL3,UPL8,6.3436
1300000037,perftesting,300000037,SD6363-4060,CMOR1,UPL1,UPL10,3.2507
1300000038,perftesting,300000038,SD8462-4128,CMOR1,UPL1,UPL8,12.6178
1300000039,perftesting,300000039,SD5847-4149,CMOR1,UPL2,UPL10,22.7874
1300000040,perftesting,300000040,SD6162-4265,CMOR1,UPL3,UPL8,14.0793
1300000041,perftesting,300000041,SD5148-4373,CMOR1,UPL1,UPL10,1.9177
1300000042,perftesting,300000042,SD8344-4425,CMOR1,UPL1,UPL8,38.0864
1300000043,perftesting,300000043,SD8663-4555,CMOR1,UPL2,UPL10,44.9041
1300000044,perftesting,300000044,SD5947-4625,CMOR1,UPL3,UPL8,27.1171
1300000045,perftesting,300000045,SD7967-4758,CMOR1,UPL1,UPL8,21.9732
1300000046,perftesting,300000046,SD5965-4825,CMOR1,UPL2,UPL10,9.4421
1300000047,perftesting,300000047,SD7447-4904,CMOR1,UPL3,UPL8,5.0709
1300000048,perftesting,300000048,SD6862-5040,CMOR1,UPL1,UPL10,12.6442
1300000049,perftesting,300000049,SD6150-5078,CMOR1,UPL1,UPL8,3.1822
1300000050,perftesting,300000050,SD5846-5185,CMOR1,UPL2,UPL10,25.4959
1300000051,perftesting,300000051,SD6163-5222,CMOR1,UPL3,UPL8,12.6114
1300000052,perftesting,300000052,SD6666-5287,CMOR1,UPL1,UPL10,55.2466
1300000053,perftesting,300000053,SD8460-5358,CMOR1,UPL1,UPL8,2.4534
1300000054,perftesting,300000054,SD8052-5479,CMOR1,UPL2,UPL10,2.8821
1300000055,perftesting,300000055,SD8464-5540,CMOR1,UPL3,UPL8,15.0245
1300000056,perftesting,300000056,SD8662-5583,CMOR1,UPL1,UPL8,17.7807
1300000057,perftesting,300000057,SD7347-5652,CMOR1,UPL2,UPL10,2.0334
1300000058,perftesting,300000058,SD8444-5726,CMOR1,UPL3,UPL8,9.8268
1300000059,perftesting,300000059,SD8243-5822,CMOR1,UPL1,UPL10,3.3901
1300000060,perftesting,300000060,SD6246-5854,CMOR1,UPL1,UPL8,13.9138
1300000061,perftesting,300000061,SD7967-5898,CMOR1,UPL2,UPL10,7.9252
1300000062,perftesting,300000062,SD8545-5973,CMOR1,UPL3,UPL8,1.4281
1300000063,perftesting,300000063,SD5949-6060,CMOR1,UPL1,UPL10,681.6133
1300000064,perftesting,300000064,SD6450-6152,CMOR1,UPL1,UPL8,3.5492
1300000065,perftesting,300000065,SD6964-6234,CMOR1,UPL2,UPL10,4.2954
1300000066,perftesting,300000066,SD8365-6381,CMOR1,UPL3,UPL8,7.6393
1300000067,perftesting,300000067,SD7258-6497,CMOR1,UPL1,UPL8,6.6345
1300000068,perftesting,300000068,SD8460-6537,CMOR1,UPL2,UPL10,2.2142
1300000069,perftesting,300000069,SD6353-6608,CMOR1,UPL3,UPL8,59.5602
1300000070,perftesting,300000070,SD5560-6680,CMOR1,UPL1,UPL10,14.3923
1300000071,perftesting,300000071,SD7562-6786,CMOR1,UPL1,UPL8,18.2663
1300000072,perftesting,300000072,SD8644-6818,CMOR1,UPL2,UPL10,8.1773
1300000073,perftesting,300000073,SD6962-6884,CMOR1,UPL3,UPL8,1.5248
1300000074,perftesting,300000074,SD6165-7025,CMOR1,UPL1,UPL10,13.3246
1300000075,perftesting,300000075,SD7146-7178,CMOR1,UPL1,UPL8,12.5205
1300000076,perftesting,300000076,SD8052-7236,CMOR1,UPL2,UPL10,6.6248
1300000077,perftesting,300000077,SD7359-7274,CMOR1,UPL3,UPL8,14.5695
1300000078,perftesting,300000078,SD7347-7332,CMOR1,UPL1,UPL8,3.6654
1300000079,perftesting,300000079,SD6866-7423,CMOR1,UPL2,UPL10,468.2825
1300000080,perftesting,300000080,SD7057-7514,CMOR1,UPL3,UPL8,17.5554
1300000081,perftesting,300000081,SD6863-7596,CMOR1,UPL1,UPL10,3.5939
1300000082,perftesting,300000082,SD5260-7636,CMOR1,UPL1,UPL8,1.3531
1300000083,perftesting,300000083,SD6855-7704,CMOR1,UPL2,UPL10,24.6324
1300000084,perftesting,300000084,SD8343-7784,CMOR1,UPL3,UPL8,26.0368
1300000085,perftesting,300000085,SD8544-7950,CMOR1,UPL1,UPL10,9.7224
1300000086,perftesting,300000086,SD7447-8036,CMOR1,UPL1,UPL8,1.8905
1300000087,perftesting,300000087,SD6859-8122,CMOR1,UPL2,UPL10,549.0169
1300000088,perftesting,300000088,SD6348-8248,CMOR1,UPL3,UPL8,5.0675
1300000089,perftesting,300000089,SD5659-8377,CMOR1,UPL1,UPL8,7.3576
1300000090,perftesting,300000090,SD8052-8446,CMOR1,UPL2,UPL10,6.0962
1300000091,perftesting,300000091,SD7350-8502,CMOR1,UPL3,UPL8,14.1178
1300000092,perftesting,300000092,SD6649-8555,CMOR1,UPL1,UPL10,13.0355
1300000093,perftesting,300000093,SD7059-8651,CMOR1,UPL1,UPL8,2.3756
1300000094,perftesting,300000094,SD8142-8717,CMOR1,UPL2,UPL10,17.7351
1300000095,perftesting,300000095,SD8462-8789,CMOR1,UPL3,UPL8,24.4267
1300000096,perftesting,300000096,SD7267-8823,CMOR1,UPL1,UPL10,9.3558
1300000097,perftesting,300000097,SD8042-8977,CMOR1,UPL1,UPL8,10.0548
1300000098,perftesting,300000098,SD6362-9049,CMOR1,UPL2,UPL10,38.9762
1300000099,perftesting,300000099,SD8558-9150,CMOR1,UPL3,UPL8,38.0581
1300000100,perftesting,300000100,SD7560-9193,CMOR1,UPL1,UPL8,25.3873
